aoi_id,city,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-00d24626e4d8,Hong Kong,open,MCGC_model_prediction,0.0076,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-00d42217d808,Hong Kong,open,MCGC_model_prediction,0.2107,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-00db2e24e20a,Hong Kong,open,MCGC_model_prediction,0.0470,very_high,<5k_m2,>=8,>=0.005,1_2,yes,yes
GBA-10-00e0cdc4c554,Hong Kong,open,MCGC_model_prediction,0.3723,low,<5k_m2,<1,0,0,yes,yes
GBA-10-00e14347ae57,Hong Kong,gated,MCGC_model_prediction,0.5542,low,<5k_m2,<1,0,0,yes,yes
GBA-10-00eab11e8d41,Hong Kong,open,MCGC_model_prediction,0.2988,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-00eb5a5e35f5,Hong Kong,open,MCGC_model_prediction,0.1919,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-0100ab5eeaf3,Hong Kong,open,MCGC_model_prediction,0.0097,very_high,<5k_m2,<1,0.001_0.002,3_5,yes,yes
GBA-10-010404ad8113,Hong Kong,open,MCGC_model_prediction,0.3502,low,<5k_m2,<1,0.001_0.002,1_2,yes,yes
GBA-10-010420229693,Hong Kong,open,MCGC_model_prediction,0.1273,high,<5k_m2,2_4,0,0,yes,yes
GBA-10-010cb5024703,Hong Kong,open,MCGC_model_prediction,0.0156,very_high,<5k_m2,>=8,0.002_0.005,1_2,yes,yes
GBA-10-01192e879f42,Hong Kong,gated,MCGC_model_prediction,0.8749,high,25k_50k_m2,4_8,0.001_0.002,>5,yes,yes
GBA-10-012ca9637018,Hong Kong,open,MCGC_model_prediction,0.2603,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-0141756a6eba,Hong Kong,gated,MCGC_model_prediction,0.5583,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-0142360f7743,Hong Kong,open,MCGC_model_prediction,0.2983,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-014a214a6f85,Hong Kong,open,MCGC_model_prediction,0.4354,low,>=100k_m2,<1,0,0,yes,yes
GBA-10-014f65920ab9,Hong Kong,open,MCGC_model_prediction,0.0468,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01540aed0d2f,Hong Kong,gated,MCGC_model_prediction,0.9518,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01556fe25f81,Hong Kong,open,MCGC_model_prediction,0.0059,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-016a0de1fc60,Hong Kong,open,MCGC_model_prediction,0.0049,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-016e13a82d0b,Hong Kong,open,MCGC_model_prediction,0.0130,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-01722fb9fbba,Hong Kong,open,MCGC_model_prediction,0.3048,low,<5k_m2,>=8,0,0,yes,yes
GBA-10-01751266397d,Hong Kong,open,MCGC_model_prediction,0.0063,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0178064397ef,Hong Kong,open,MCGC_model_prediction,0.3969,low,<5k_m2,2_4,0,0,yes,yes
GBA-10-01795621bd4c,Hong Kong,open,MCGC_model_prediction,0.0104,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-018284a0822a,Hong Kong,gated,MCGC_model_prediction,0.9761,very_high,50k_100k_m2,2_4,0_0.0005,3_5,yes,yes
GBA-10-0187bf203429,Hong Kong,gated,MCGC_model_prediction,0.8465,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-018c1016251f,Hong Kong,open,MCGC_model_prediction,0.4177,low,<5k_m2,<1,>=0.005,1_2,yes,yes
GBA-10-019c1994a0e0,Hong Kong,gated,MCGC_model_prediction,0.6672,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-01a136aec4ac,Hong Kong,open,MCGC_model_prediction,0.0074,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01a5b20e8b82,Hong Kong,open,MCGC_model_prediction,0.3586,low,<5k_m2,<1,0,0,yes,yes
GBA-10-01a84af52148,Hong Kong,open,MCGC_model_prediction,0.2529,medium,<5k_m2,4_8,0,0,yes,yes
GBA-10-01afcf074e85,Hong Kong,gated,MCGC_model_prediction,0.9313,high,<5k_m2,<1,0,0,yes,yes
GBA-10-01b28e9984f9,Hong Kong,open,MCGC_model_prediction,0.0412,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01b426031d59,Hong Kong,open,MCGC_model_prediction,0.1390,high,<5k_m2,<1,0,0,yes,yes
GBA-10-01ba095e7b3f,Hong Kong,open,MCGC_model_prediction,0.0063,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-01d1ea9f8a14,Hong Kong,gated,MCGC_model_prediction,0.9816,very_high,25k_50k_m2,2_4,0,0,yes,yes
GBA-10-01d44db95d13,Hong Kong,gated,MCGC_model_prediction,0.8350,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-01d6fbe28bc7,Hong Kong,open,MCGC_model_prediction,0.0309,very_high,<5k_m2,<1,0,0,yes,yes
