aoi_id,city,centroid_lon,centroid_lat,area_m2,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-02b234f74e77,Hong Kong,114.285899,22.397334,816.39,open,MCGC_model_prediction,0.3665,low,<5k_m2,<1,0,0,yes,yes
GBA-10-02b391d35d51,Hong Kong,114.196777,22.291816,392.44,open,MCGC_model_prediction,0.0051,very_high,<5k_m2,4_8,0.002_0.005,1_2,yes,yes
GBA-10-02b44c377807,Hong Kong,113.970209,22.415771,2589.63,open,MCGC_model_prediction,0.1126,high,<5k_m2,<1,0,0,yes,yes
GBA-10-02b808cc9bf1,Hong Kong,114.151970,22.281695,670.76,open,MCGC_model_prediction,0.2337,medium,<5k_m2,4_8,0,0,yes,yes
GBA-10-02c719de8c96,Hong Kong,114.227625,22.334637,991.97,open,MCGC_model_prediction,0.4033,low,<5k_m2,<1,0,0,yes,yes
GBA-10-02d2d0a1b68b,Hong Kong,113.996924,22.421269,7022.52,gated,MCGC_model_prediction,0.8543,high,5k_10k_m2,<1,0,0,yes,yes
GBA-10-02d4295ab322,Hong Kong,114.129014,22.283738,231.99,open,MCGC_model_prediction,0.0338,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02d56d0c066a,Hong Kong,113.987007,22.465747,314.00,open,MCGC_model_prediction,0.0067,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02d888c1612f,Hong Kong,114.163095,22.304861,16706.59,gated,MCGC_model_prediction,0.9411,high,10k_25k_m2,4_8,0,0,yes,yes
GBA-10-02ddb37daec8,Hong Kong,114.125957,22.489518,820.34,open,MCGC_model_prediction,0.0335,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02e026cb3253,Hong Kong,114.152793,22.268896,817.79,open,MCGC_model_prediction,0.1863,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-02e8195b8931,Hong Kong,113.990821,22.464871,200.03,open,MCGC_model_prediction,0.0057,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02eaae212e8f,Hong Kong,114.043219,22.470889,19182.46,gated,MCGC_model_prediction,0.7470,medium,10k_25k_m2,<1,0_0.0005,3_5,yes,yes
GBA-10-02ebc355385d,Hong Kong,114.182635,22.329857,1960.30,open,MCGC_model_prediction,0.3911,low,<5k_m2,>=8,0,0,yes,yes
GBA-10-02ebcaa4ca58,Hong Kong,114.034212,22.450520,19584.47,gated,MCGC_model_prediction,0.5656,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-02edfa7a8964,Hong Kong,114.130426,22.378708,25433.65,gated,MCGC_model_prediction,0.5968,low,25k_50k_m2,2_4,0_0.0005,1_2,yes,yes
GBA-10-02eec7803b27,Hong Kong,114.131086,22.355337,7633.71,open,MCGC_model_prediction,0.4476,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-02f674b3d224,Hong Kong,114.196591,22.291989,227.38,open,MCGC_model_prediction,0.0073,very_high,<5k_m2,4_8,0,0,yes,yes
GBA-10-02f764632a2b,Hong Kong,113.972238,22.420154,1200.75,open,MCGC_model_prediction,0.1059,high,<5k_m2,<1,0,0,yes,yes
GBA-10-03000c51e0fa,Hong Kong,114.152336,22.283963,1295.36,open,MCGC_model_prediction,0.1711,medium,<5k_m2,2_4,0.0005_0.001,1_2,yes,yes
GBA-10-030232df2253,Hong Kong,114.065799,22.439053,43724.05,open,MCGC_model_prediction,0.3301,low,25k_50k_m2,<1,0_0.0005,1_2,yes,yes
GBA-10-0303e4c28859,Hong Kong,114.190089,22.264251,1084.92,open,MCGC_model_prediction,0.2779,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-030430b47535,Hong Kong,114.106527,22.361891,41158.78,gated,MCGC_model_prediction,0.9885,very_high,25k_50k_m2,1_2,0_0.0005,1_2,yes,yes
GBA-10-0316004c8ba0,Hong Kong,114.175815,22.443273,1590.33,open,MCGC_model_prediction,0.2887,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-0325e62ee306,Hong Kong,114.228670,22.313190,3626.35,gated,MCGC_model_prediction,0.5105,low,<5k_m2,4_8,0,0,yes,yes
GBA-10-032ca59fb1e2,Hong Kong,114.168525,22.449300,7798.56,gated,MCGC_model_prediction,0.6398,low,5k_10k_m2,1_2,0.0005_0.001,>5,yes,yes
GBA-10-0333ed42ca89,Hong Kong,114.212704,22.217923,108.26,open,MCGC_model_prediction,0.0089,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-033560b0033e,Hong Kong,114.150534,22.278668,1869.12,open,MCGC_model_prediction,0.1506,medium,<5k_m2,2_4,0,0,yes,yes
GBA-10-0340144e9775,Hong Kong,114.182005,22.277399,127.39,open,MCGC_model_prediction,0.0634,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-0342bf86bd3d,Hong Kong,114.045095,22.447411,815.05,open,MCGC_model_prediction,0.0136,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0344d5b3d375,Hong Kong,114.186894,22.326094,2029.57,open,MCGC_model_prediction,0.3185,low,<5k_m2,4_8,0,0,yes,yes
GBA-10-035c05953db8,Hong Kong,114.262688,22.420346,26664.32,gated,MCGC_model_prediction,0.5392,low,25k_50k_m2,<1,0,0,yes,yes
GBA-10-035cee70dc73,Hong Kong,114.195679,22.393477,6427.17,gated,MCGC_model_prediction,0.8598,high,5k_10k_m2,<1,0,0,yes,yes
GBA-10-035ecb59ef92,Hong Kong,114.173004,22.316857,626.27,open,MCGC_model_prediction,0.1272,high,<5k_m2,>=8,0,0,yes,yes
